Run	Time	Name	X_pos	Y_pos

0	0.02	Bee06	16.47	49.52
0	0.02	Bee16	21.48	12.54
0	0.02	Bee15	10.50	8.54
0	0.02	Bee10	4.53	6.52
0	0.02	Bee01	25.52	15.46
0	0.02	Bee07	0.47	25.53
0	0.02	Bee03	42.50	43.46
0	0.02	Bee00	47.46	34.49
0	0.02	Bee13	13.49	44.46
0	0.02	Bee09	17.46	13.51
0	0.02	Bee14	28.49	23.46
0	0.02	Bee19	16.49	1.46
0	0.02	Bee12	47.47	12.52
0	0.02	Bee11	19.47	7.52
0	0.02	Bee17	22.53	8.53
0	0.02	Bee04	42.51	38.54
0	0.02	Bee18	1.46	26.51
0	0.02	Bee02	29.54	22.50
0	0.02	Bee05	13.47	45.53
0	0.02	Bee08	31.47	9.48
0	1.00	Bee06	16.47	49.52
0	1.00	Bee16	20.72	14.34
0	1.00	Bee15	10.50	10.50
0	1.00	Bee10	6.19	7.56
0	1.00	Bee01	26.28	13.66
0	1.00	Bee07	0.47	25.53
0	1.00	Bee03	42.40	41.54
0	1.00	Bee00	45.57	33.98
0	1.00	Bee13	13.05	42.55
0	1.00	Bee09	15.53	13.85
0	1.00	Bee14	27.82	21.62
0	1.00	Bee19	16.33	0.81
0	1.00	Bee12	45.79	13.53
0	1.00	Bee11	17.90	8.70
0	1.00	Bee17	23.81	10.01
0	1.00	Bee04	42.90	40.36
0	1.00	Bee18	0.82	26.69
0	1.00	Bee02	31.50	22.53
0	1.00	Bee05	12.14	46.96
0	1.00	Bee08	29.79	8.47
0	2.00	Bee06	16.47	49.52
0	2.00	Bee16	19.94	16.18
0	2.00	Bee15	10.50	12.50
0	2.00	Bee10	7.89	8.62
0	2.00	Bee01	27.06	11.82
0	2.00	Bee07	0.47	25.53
0	2.00	Bee03	42.40	41.54
0	2.00	Bee00	43.64	33.46
0	2.00	Bee13	12.60	40.60
0	2.00	Bee09	13.56	14.19
0	2.00	Bee14	27.13	19.74
0	2.00	Bee19	16.32	0.81
0	2.00	Bee12	44.07	14.56
0	2.00	Bee11	16.31	9.91
0	2.00	Bee17	25.12	11.52
0	2.00	Bee04	42.88	40.37
0	2.00	Bee18	0.82	26.69
0	2.00	Bee02	33.50	22.57
0	2.00	Bee05	10.77	48.42
0	2.00	Bee08	28.07	7.44
0	3.00	Bee06	16.47	49.53
0	3.00	Bee16	19.16	18.02
0	3.00	Bee15	10.50	14.30
0	3.00	Bee10	9.59	9.68
0	3.00	Bee01	27.84	9.98
0	3.00	Bee07	0.47	25.53
0	3.00	Bee03	42.40	41.54
0	3.00	Bee00	41.71	32.95
0	3.00	Bee13	12.15	38.66
0	3.00	Bee09	11.66	14.53
0	3.00	Bee14	26.45	17.86
0	3.00	Bee19	16.32	0.81
0	3.00	Bee12	42.36	15.59
0	3.00	Bee11	14.71	11.11
0	3.00	Bee17	26.44	13.03
0	3.00	Bee04	42.89	40.38
0	3.00	Bee18	0.82	26.70
0	3.00	Bee02	35.50	22.60
0	3.00	Bee05	10.23	49.00
0	3.00	Bee08	26.36	6.41
0	4.00	Bee06	16.47	49.53
0	4.00	Bee16	18.37	19.86
0	4.00	Bee15	10.50	14.30
0	4.00	Bee10	11.28	10.74
0	4.00	Bee01	28.63	8.14
0	4.00	Bee07	0.47	25.53
0	4.00	Bee03	42.40	41.53
0	4.00	Bee00	39.77	32.43
0	4.00	Bee13	11.70	36.71
0	4.00	Bee09	11.66	14.53
0	4.00	Bee14	25.76	15.98
0	4.00	Bee19	16.32	0.81
0	4.00	Bee12	40.64	16.62
0	4.00	Bee11	13.11	12.31
0	4.00	Bee17	27.75	14.54
0	4.00	Bee04	42.89	40.38
0	4.00	Bee18	2.36	27.38
0	4.00	Bee02	37.50	22.64
0	4.00	Bee05	10.25	49.05
0	4.00	Bee08	24.64	5.38
0	5.00	Bee06	16.47	49.54
0	5.00	Bee16	17.59	21.70
0	5.00	Bee15	10.51	14.30
0	5.00	Bee10	12.98	11.80
0	5.00	Bee01	29.41	6.30
0	5.00	Bee07	0.47	25.54
0	5.00	Bee03	42.40	41.53
0	5.00	Bee00	37.84	31.91
0	5.00	Bee13	11.25	34.76
0	5.00	Bee09	11.66	14.53
0	5.00	Bee14	25.08	14.11
0	5.00	Bee19	16.32	0.81
0	5.00	Bee12	38.93	17.65
0	5.00	Bee11	11.98	13.17
0	5.00	Bee17	29.06	16.04
0	5.00	Bee04	43.71	40.35
0	5.00	Bee18	4.19	28.18
0	5.00	Bee02	39.50	22.67
0	5.00	Bee05	10.25	49.05
0	5.00	Bee08	22.93	4.35
0	6.00	Bee06	16.47	49.55
0	6.00	Bee16	16.81	23.54
0	6.00	Bee15	10.51	14.30
0	6.00	Bee10	14.68	12.86
0	6.00	Bee01	30.19	4.46
0	6.00	Bee07	0.47	25.54
0	6.00	Bee03	41.05	40.09
0	6.00	Bee00	35.91	31.39
0	6.00	Bee13	10.80	32.81
0	6.00	Bee09	11.65	14.52
0	6.00	Bee14	24.40	12.23
0	6.00	Bee19	16.32	0.81
0	6.00	Bee12	37.22	18.68
0	6.00	Bee11	11.42	13.04
0	6.00	Bee17	30.37	17.56
0	6.00	Bee04	45.71	40.28
0	6.00	Bee18	6.02	28.99
0	6.00	Bee02	41.50	22.71
0	6.00	Bee05	10.25	49.04
0	6.00	Bee08	21.22	3.32
0	7.00	Bee06	16.47	49.54
0	7.00	Bee16	16.04	25.37
0	7.00	Bee15	10.51	14.30
0	7.00	Bee10	16.36	13.91
0	7.00	Bee01	30.96	2.63
0	7.00	Bee07	0.47	25.54
0	7.00	Bee03	39.70	38.64
0	7.00	Bee00	34.00	30.88
0	7.00	Bee13	10.35	30.88
0	7.00	Bee09	11.65	14.52
0	7.00	Bee14	23.72	10.36
0	7.00	Bee19	15.35	2.15
0	7.00	Bee12	35.52	19.70
0	7.00	Bee11	9.49	12.59
